sentence1,sentence2,model_name,source,label,p_meta,p_lex,p_syn,p_sem,confidence_margin,detected,jaccard,bigram_overlap,norm_edit_dist,length_change,novel_word_ratio,p_DeBERTa_Single,p_RoBERTa_Single,p_Fusion_NoDis
"Andrew Ng hands me a tiny device that wraps around my ear and connects to a smartphone via a small cable. It looks like a throwback---a smartphone earpiece without a Bluetooth connection. But it's really a glimpse of the future. In a way, this tiny device allows the blind to see.","Andrew Ng gives me a small device that fits around my ear and connects to a smartphone with a short cable. It resembles an old-fashioned smartphone earpiece without Bluetooth, yet it actually offers a glimpse of the future. In a sense, this tiny device enables the blind to see.",Gpt 5,,1,0.9999573,0.99997497,0.99997497,0.9999697,0.4455129,1,0.5094339622641509,0.3472222222222222,0.3333333333333333,-0.0392156862745098,0.2653061224489796,0.9999485,0.89368117,0.99955577
The possibility of approximating a continuous function on a compact subset of the real line by a feedforward single hidden layer neural network with a sigmoidal activation function has been studied in many papers. ,The possibility of approximating a continuous function on a compact subset of the real line by a single hidden layer feedforward neural network with a sigmoidal activation function has been extensively studied.,Llama 4,,1,0.9998977,0.9999274,0.99993074,0.99986017,0.4454533,1,0.8,0.6842105263157895,0.17647058823529413,-0.058823529411764705,0.0625,0.99985576,0.9500415,0.99967504
"We study a novel machine learning (ML) problem setting of sequentially allocating small subsets of training data amongst a large set of classifiers. The goal is to select a classifier that will give near-optimal accuracy when trained on all data, while also minimizing the cost of misallocated samples.","We investigate a new machine learning problem setting that involves sequentially distributing small subsets of training data among a large set of classifiers, with the objective of identifying a classifier that achieves near-optimal accuracy when trained on the entire dataset, while also reducing the cost associated with misallocated samples.",Llama 4,,1,0.9999635,0.99998164,0.99997497,0.9999658,0.4455191,1,0.48214285714285715,0.23376623376623376,0.42857142857142855,0.020833333333333332,0.30612244897959184,0.9999697,0.8204695,0.9996486
"State-of-the-art object detection networks depend on region proposal algorithms to hypothesize object locations. Advances like SPPnet and Fast R-CNN have reduced the running time of these detection networks, exposing region proposal computation as a bottleneck. ","State-of-the-art object detection networks rely on region proposal algorithms to propose potential object locations. Recent advances, such as SPPnet and Fast R-CNN, have accelerated these detection networks, revealing that region proposal computation has become a bottleneck.",Llama 4,,1,0.999956,0.99997497,0.9999707,0.99995315,0.44551158,1,0.46511627906976744,0.2641509433962264,0.4722222222222222,0.02857142857142857,0.3333333333333333,0.9999697,0.7397986,0.99961996
"As a mission-driven Open Access publisher, innovator and advocacy organization, PLOS is committed to bringing scientific research and discovery into the public sphere. From the exciting breakthrough that transforms a field to the confirmatory or negative result, work published in PLOS journals truly reflects the breadth and depth of the scientific endeavor","As an Open Access publisher driven by mission, innovation, and advocacy, PLOS aims to make scientific research and discovery accessible to the public. The work published in PLOS journals accurately represents the full scope and range of scientific inquiry, from groundbreaking discoveries to validation and null findings.",Llama 4,,1,0.99997246,0.9999857,0.9999827,0.99995995,0.44552803,1,0.25,0.10227272727272728,0.8076923076923077,-0.09615384615384616,0.46808510638297873,0.9999635,0.91181,0.9996947
Our evolutionary history suggests that there was a period when Homo‘s brain was undergoing a long period of gradual enhancement. It wasn’t Homo sapiens though; it was Homo erectus. ,"Our evolutionary past indicates that Homo's brain underwent a prolonged period of gradual development, but it was not Homo sapiens; rather, it was Homo erectus",Llama 4,,1,0.9999919,0.99999607,0.9999969,0.9999906,0.44554746,1,0.3235294117647059,0.10869565217391304,0.6206896551724138,-0.13793103448275862,0.44,0.99996233,0.70740473,0.9996486
"I swear I wasn’t going to do a “Top Whatevers of 2015” blog post this year, but then the Benevolent Overlords at Slate asked me to do one, and what choice do I have? They’re benevolent, but they are overlords. Plus I like them.","I had resolved not to write a ""Top Whatever"" blog post for 2015, but then Slate's Benevolent Overlords requested one, and I couldn't refuse; after all, they're benevolent but still in charge, and I also happen to like them.",Llama 4,,1,0.99997413,0.99997854,0.99997854,0.99997854,0.4455297,1,0.22807017543859648,0.06756756756756757,0.7272727272727273,-0.11363636363636363,0.5128205128205128,0.99996114,0.9952448,0.9998313
Professor Lord Krebs recently argued in an opinion piece in The Conversation that “accurate reporting of science matters” and that it is part of scientists’ professional duty to “challenge poor media reporting on climate change”. ,"In a recent opinion piece in The Conversation, Professor Lord Krebs asserted that accurate science reporting is crucial and that it is scientists' professional responsibility to challenge inaccurate media coverage of climate change.",Llama 4,,1,0.9999274,0.999956,0.9999517,0.9998945,0.44548297,1,0.4186046511627907,0.13793103448275862,0.7142857142857143,-0.05714285714285714,0.36363636363636365,0.99995315,0.6522414,0.9995345
Keeping up with the relentless pace of change in the ICT industry is a daily challenge for modern tech companies. The key to long-term success lies in the ability to understand change almost before it occurs and seize the opportunity to shape evolving technologies.,"The rapid pace of change in the ICT industry poses a daily challenge for contemporary tech companies, and the key to sustained success lies in anticipating change and capitalizing on emerging technologies to shape their evolution.",Llama 4,,1,0.9999778,0.9999924,0.9999889,0.9999702,0.4455334,1,0.375,0.2222222222222222,0.5227272727272727,-0.18181818181818182,0.3333333333333333,0.99996877,0.7348813,0.9994887
"In fact, science and technology are clearly distinguishable in both intension and extension. Science in general is the knowledge system with nature as its studying object (plus society and even individuals), which is acquired through experimenting, reasoning, perfecting, etc. ","Science and technology are distinctly different in both concept and scope. Science is a system of knowledge that focuses on studying nature (as well as society and individuals), acquired through experimentation, reasoning, refinement, and other methods.",Llama 4,,1,0.9999895,0.99999464,0.9999951,0.99998796,0.44554508,1,0.3541666666666667,0.08955223880597014,0.6666666666666666,-0.07692307692307693,0.4166666666666667,0.9999635,0.9766692,0.9997131
"Andrew Ng hands me a tiny device that wraps around my ear and connects to a smartphone via a small cable. It looks like a throwback---a smartphone earpiece without a Bluetooth connection. But it's really a glimpse of the future. In a way, this tiny device allows the blind to see.","Andrew Ng hands me a small device that fits around my ear and links to a smartphone with a short cable, resembling an old-fashioned smartphone earpiece. However, it's actually a glimpse into the future, as this tiny device enables the blind to ""see"".",Llama 4,,1,0.99997497,0.99998736,0.9999862,0.99997926,0.44553053,1,0.35714285714285715,0.21333333333333335,0.49019607843137253,-0.1568627450980392,0.37209302325581395,0.99995863,0.93439513,0.99963164
